Source,Target,Type,Weight
6.79E+18,6.94E+18,Undirected,2
7.07E+18,7.42E+18,Undirected,2
7.30E+18,7.65E+18,Undirected,1
6.91E+18,7.30E+18,Undirected,1
7.19E+18,7.30E+18,Undirected,1
6.65E+18,7.30E+18,Undirected,1
7.30E+18,7.65E+18,Undirected,1
6.88E+18,7.30E+18,Undirected,1
6.91E+18,7.65E+18,Undirected,2
7.19E+18,7.65E+18,Undirected,1
6.93E+18,7.65E+18,Undirected,1
6.65E+18,7.65E+18,Undirected,1
7.65E+18,7.65E+18,Undirected,1
6.88E+18,7.65E+18,Undirected,1
6.91E+18,7.19E+18,Undirected,1
6.91E+18,6.93E+18,Undirected,1
6.65E+18,6.91E+18,Undirected,1
6.91E+18,7.65E+18,Undirected,1
6.88E+18,6.91E+18,Undirected,1
6.93E+18,7.19E+18,Undirected,1
6.65E+18,7.19E+18,Undirected,1
7.19E+18,7.65E+18,Undirected,1
6.88E+18,7.19E+18,Undirected,1
6.65E+18,6.93E+18,Undirected,1
6.93E+18,7.65E+18,Undirected,1
6.88E+18,6.93E+18,Undirected,1
6.65E+18,7.65E+18,Undirected,1
6.65E+18,6.88E+18,Undirected,1
6.88E+18,7.65E+18,Undirected,1
6.83E+18,7.30E+18,Undirected,1
6.98E+18,7.29E+18,Undirected,2
7.18E+18,7.29E+18,Undirected,2
7.28E+18,7.29E+18,Undirected,1
6.79E+18,7.29E+18,Undirected,2
6.80E+18,7.29E+18,Undirected,2
7.29E+18,8.22E+16,Undirected,2
7.13E+18,7.29E+18,Undirected,2
6.83E+18,7.29E+18,Undirected,2
7.11E+18,7.29E+18,Undirected,2
6.98E+18,7.18E+18,Undirected,2
6.98E+18,7.28E+18,Undirected,1
6.79E+18,6.98E+18,Undirected,2
6.80E+18,6.98E+18,Undirected,2
6.98E+18,8.22E+16,Undirected,2
6.98E+18,7.13E+18,Undirected,2
6.83E+18,6.98E+18,Undirected,2
6.98E+18,7.11E+18,Undirected,2
7.18E+18,7.28E+18,Undirected,1
6.79E+18,7.18E+18,Undirected,2
6.80E+18,7.18E+18,Undirected,2
7.18E+18,8.22E+16,Undirected,2
